# Zini     MH        logAge    Mini           int_IMF        Mass    logL     logTe    logg    label   McoreTP   C_O     period0   period1   period2   period3   period4   pmode   Mloss       tau1m   X        Y        Xc         Xn         Xo         Cexcess   Z         mbolmag   Gmag     G_BPmag   G_RPmag  
  0.0152   0.01508   7.69897   0.5            2.2374541759   0.5     -1.361   3.5305   4.572   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.06E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.172     9.013    10.311    7.891    
  0.0152   0.01508   7.69897   0.515352726    2.2527401447   0.515   -1.334   3.5338   4.571   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.26E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   8.104     8.924    10.198    7.811    
  0.0152   0.01508   7.69897   0.5500000119   2.2836582661   0.55    -1.262   3.542    4.56    0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -4.92E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.925     8.692    9.911     7.601    
  0.0152   0.01508   7.69897   0.586574018    2.3117816448   0.586   -1.186   3.5527   4.555   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -5.69E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.735     8.432    9.579     7.373    
  0.0152   0.01508   7.69897   0.5947414041   2.3175210953   0.594   -1.168   3.5554   4.553   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -5.89E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.689     8.37     9.499     7.318    
  0.0152   0.01508   7.69897   0.6000000238   2.3211214542   0.6     -1.153   3.5575   4.551   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -6.08E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006719   -1.0      0.01527   7.653     8.32     9.436     7.275    
  0.0152   0.01508   7.69897   0.6215809584   2.3351664543   0.621   -1.093   3.5672   4.545   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -6.89E-15   0.0     0.7092   0.2755   0.002746   7.408E-4   0.006718   -1.0      0.01527   7.502     8.107    9.161     7.09     
  0.0152   0.01508   7.69897   0.6499999762   2.3520355225   0.65    -1.005   3.5825   4.538   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -8.28E-15   0.0     0.7092   0.2755   0.002746   7.407E-4   0.006718   -1.0      0.01527   7.283     7.797    8.764     6.826    
  0.0152   0.01508   7.69897   0.6606887579   2.3579499722   0.661   -0.968   3.5898   4.538   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -8.94E-15   0.0     0.7092   0.2755   0.002746   7.407E-4   0.006718   -1.0      0.01527   7.191     7.664    8.592     6.714    
  0.0152   0.01508   7.69897   0.6800088286   2.3680996895   0.68    -0.895   3.605    4.537   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.04E-14   0.0     0.7092   0.2755   0.002746   7.407E-4   0.006718   -1.0      0.01527   7.007     7.403    8.259     6.494    
  0.0152   0.01508   7.69897   0.6991444826   2.3775196075   0.699   -0.818   3.6215   4.539   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.23E-14   0.0     0.7092   0.2755   0.002746   7.407E-4   0.006718   -1.0      0.01527   6.816     7.129    7.911     6.265    
  0.0152   0.01508   7.69897   0.7000000477   2.3779268265   0.7     -0.815   3.6223   4.539   0       0.0       0.545   0.0       0.0       0.0       0.0       0.0       -1      -1.23E-14   0.0     0.7092   0.2755   0.002746   7.407E-4   0.006718   -1.0      0.01527   6.807     7.117    7.895     6.255    
  0.0152   0.01508   7.69897   0.7118496895   2.3834531307   0.712   -0.757   3.6391   4.556   0       0.0       0.543   0.0       0.0       0.0       0.0       0.0       -1      -1.37E-14   0.0     0.7092   0.2755   0.002737   7.405E-4   0.006718   -1.0      0.01527   6.662     6.886    7.585     6.075    
  0.0152   0.01508   7.69897   0.7230652571   2.3884921074   0.723   -0.704   3.6541   4.57    0       0.0       0.541   0.0       0.0       0.0       0.0       0.0       -1      -1.51E-14   0.0     0.7092   0.2755   0.002728   7.403E-4   0.006718   -1.0      0.01527   6.53      6.68     7.316     5.913    
  0.0152   0.01508   7.69897   0.7332956791   2.3929343224   0.733   -0.659   3.6666   4.58    0       0.0       0.54    0.0       0.0       0.0       0.0       0.0       -1      -1.65E-14   0.0     0.7092   0.2755   0.002721   7.401E-4   0.006719   -1.0      0.01527   6.417     6.511    7.1       5.779    
  0.0152   0.01508   7.69897   0.7435446978   2.3972439766   0.744   -0.616   3.678    4.589   0       0.0       0.539   0.0       0.0       0.0       0.0       0.0       -1      -1.79E-14   0.0     0.7092   0.2755   0.002714   7.399E-4   0.006719   -1.0      0.01527   6.31      6.359    6.908     5.658    
  0.0152   0.01508   7.69897   0.75           2.3998889923   0.75    -0.599   3.6828   4.595   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -1.84E-14   0.0     0.7092   0.2755   0.002709   7.397E-4   0.006719   -1.0      0.01527   6.268     6.301    6.835     5.612    
  0.0152   0.01508   7.69897   0.7545143366   2.4017078876   0.755   -0.587   3.6851   4.595   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -1.89E-14   0.0     0.7092   0.2755   0.002709   7.397E-4   0.006719   -1.0      0.01527   6.237     6.263    6.79      5.58     
  0.0152   0.01508   7.69897   0.8000000119   2.4187245369   0.8     -0.493   3.7034   4.6     0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -2.28E-14   0.0     0.7092   0.2755   0.002709   7.397E-4   0.006718   -1.0      0.01527   6.003     5.975    6.449     5.337    
  0.0152   0.01508   7.69897   0.8217871189   2.4261124134   0.821   -0.455   3.7114   4.605   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -2.45E-14   0.0     0.7093   0.2755   0.002709   7.397E-4   0.006718   -1.0      0.01525   5.907     5.859    6.313     5.24     
  0.0152   0.01508   7.69897   0.8475150466   2.4342763424   0.847   -0.414   3.7187   4.607   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -2.64E-14   0.0     0.7093   0.2755   0.002709   7.396E-4   0.006718   -1.0      0.01525   5.806     5.742    6.177     5.14     
  0.0152   0.01508   7.69897   0.8500000238   2.4350347519   0.85    -0.411   3.7194   4.608   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -2.65E-14   0.0     0.7093   0.2755   0.002709   7.396E-4   0.006718   -1.0      0.01525   5.797     5.732    6.165     5.132    
  0.0152   0.01508   7.69897   0.8522899151   2.4357292652   0.852   -0.408   3.72     4.608   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -2.67E-14   0.0     0.7093   0.2755   0.002709   7.396E-4   0.006718   -1.0      0.01526   5.79      5.723    6.155     5.124    
  0.0152   0.01508   7.69897   0.8923543096   2.4472193718   0.892   -0.341   3.7301   4.602   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -3.06E-14   0.0     0.7093   0.2754   0.002708   7.396E-4   0.006717   -1.0      0.01527   5.623     5.538    5.948     4.96     
  0.0152   0.01508   7.69897   0.9000000358   2.4492788315   0.899   -0.328   3.7321   4.6     0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -3.15E-14   0.0     0.7093   0.2754   0.002708   7.396E-4   0.006717   -1.0      0.01526   5.589     5.5      5.905     4.927    
  0.0152   0.01508   7.69897   0.929777503    2.4569296837   0.929   -0.276   3.7392   4.591   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -3.51E-14   0.0     0.7093   0.2754   0.002708   7.395E-4   0.006717   -1.0      0.01525   5.46      5.36     5.748     4.803    
  0.0152   0.01508   7.69897   0.9500000477   2.4618122578   0.95    -0.233   3.7449   4.581   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -3.88E-14   0.0     0.7093   0.2754   0.002708   7.395E-4   0.006717   -1.0      0.01527   5.353     5.247    5.621     4.704    
  0.0152   0.01508   7.69897   1.0            2.4729156494   1.0     -0.132   3.7578   4.553   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -4.93E-14   0.0     0.7094   0.2754   0.002708   7.394E-4   0.006716   -1.0      0.01527   5.099     4.981    5.325     4.468    
  0.0152   0.01508   7.69897   1.0499999523   2.4828116894   1.05    -0.034   3.7695   4.523   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -5.78E-14   0.0     0.7094   0.2753   0.002707   7.393E-4   0.006715   -1.0      0.01526   4.856     4.731    5.049     4.246    
  0.0152   0.01508   7.69897   1.0754513741   2.4874444008   1.075   0.016    3.7751   4.505   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -6.28E-14   0.0     0.7095   0.2753   0.002707   7.392E-4   0.006714   -1.0      0.01527   4.729     4.602    4.907     4.131    
  0.0152   0.01508   7.69897   1.1000000238   2.4916803837   1.099   0.064    3.7805   4.489   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -6.78E-14   0.0     0.7095   0.2752   0.002707   7.391E-4   0.006713   -1.0      0.01527   4.609     4.481    4.774     4.023    
  0.0152   0.01508   7.69897   1.1499999762   2.4996678829   1.149   0.162    3.7917   4.455   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -7.91E-14   0.0     0.7097   0.2751   0.002705   7.388E-4   0.00671    -1.0      0.0152    4.365     4.237    4.506     3.806    
  0.0152   0.01508   7.69897   1.1776686907   2.5037543774   1.177   0.218    3.7983   4.436   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -8.6E-14    0.0     0.7097   0.2751   0.002705   7.387E-4   0.006709   -1.0      0.01523   4.225     4.097    4.353     3.682    
  0.0152   0.01508   7.69897   1.2000000477   2.5068950653   1.2     0.258    3.8027   4.422   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -9.08E-14   0.0     0.7097   0.275    0.002705   7.386E-4   0.006709   -1.0      0.01527   4.125     3.998    4.246     3.594    
  0.0152   0.01508   7.69897   1.25           2.513461113    1.25    0.344    3.8124   4.392   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -1.01E-13   0.0     0.7097   0.275    0.002705   7.386E-4   0.006709   -1.0      0.01526   3.91      3.785    4.014     3.405    
  0.0152   0.01508   7.69897   1.2999999523   2.5194499493   1.3     0.425    3.8215   4.365   0       0.0       0.538   0.0       0.0       0.0       0.0       0.0       -1      -1.1E-13    0.0     0.7098   0.275    0.002705   7.385E-4   0.006708   -1.0      0.01526   3.706     3.583    3.796     3.224    
