# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 18:06:55 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.47712 0.0900000036 1.0816895962    0.090 -1.487  3.4288  3.547    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.488 10.361 12.674 8.952
0.0152 0.01508 6.47712 0.0939874500 1.1188235283    0.094 -1.479  3.4295  3.561    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.468 10.330 12.635 8.924
0.0152 0.01508 6.47712 0.1066052020 1.2240267992    0.107 -1.437  3.4337  3.589    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.363 10.173 12.429 8.778
0.0152 0.01508 6.47712 0.1133006439 1.2734886408    0.113 -1.428  3.4347  3.611    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.341 10.138 12.384 8.745
0.0152 0.01508 6.47712 0.1198236644 1.3181521893    0.120 -1.414  3.4361  3.626    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.304 10.084 12.315 8.695
0.0152 0.01508 6.47712 0.1249652728 1.3511863947    0.125 -1.388  3.4389  3.630    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.240 9.986 12.183 8.604
0.0152 0.01508 6.47712 0.1315827221 1.3911913633    0.132 -1.364  3.4415  3.639    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.180 9.895 12.061 8.520
0.0152 0.01508 6.47712 0.1379564852 1.4273246527    0.138 -1.353  3.4428  3.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.26e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.152 9.851 12.003 8.480
0.0152 0.01508 6.47712 0.1404955834 1.4411196709    0.140 -1.350  3.4433  3.660    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.144 9.837 11.984 8.467
0.0152 0.01508 6.47712 0.1474455148 1.4772781134    0.147 -1.319  3.4466  3.664    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.33e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.069 9.723 11.831 8.362
