# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sat Mar 19 18:07:21 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.69897 0.0951665044 1.1294131279    0.095 -1.778  3.4083  3.780    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.216 11.242 13.760 9.795
0.0152 0.01508 6.69897 0.0990788862 1.1633656025    0.099 -1.762  3.4099  3.788    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.89e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.175 11.200 13.720 9.753
0.0152 0.01508 6.69897 0.1031958088 1.1972607374    0.103 -1.739  3.4124  3.792    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.17e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.117 11.143 13.663 9.695
0.0152 0.01508 6.69897 0.1125131696 1.2678709030    0.112 -1.691  3.4172  3.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.7e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.998 11.007 13.511 9.563
0.0152 0.01508 6.69897 0.1258938164 1.3569639921    0.126 -1.636  3.4229  3.817    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.02e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.860 10.807 13.247 9.376
0.0152 0.01508 6.69897 0.1347586662 1.4094737768    0.135 -1.598  3.4268  3.825    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.766 10.658 13.038 9.239
0.0152 0.01508 6.69897 0.1476062685 1.4780881405    0.148 -1.547  3.4325  3.836    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.13e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.637 10.451 12.749 9.050
0.0152 0.01508 6.69897 0.1567201465 1.5222202539    0.157 -1.514  3.4362  3.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.554 10.322 12.573 8.931
0.0152 0.01508 6.69897 0.1694417149 1.5785329342    0.169 -1.461  3.4428  3.851    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.423 10.110 12.278 8.737
0.0152 0.01508 6.69897 0.1817221195 1.6279085875    0.182 -1.416  3.4482  3.858    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.309 9.932 12.034 8.574
0.0152 0.01508 6.69897 0.1963359565 1.6812987328    0.196 -1.374  3.4525  3.867    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.41e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.206 9.778 11.826 8.433
0.0152 0.01508 6.69897 0.2135923505 1.7380547523    0.214 -1.322  3.4589  3.877    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.51e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.075 9.574 11.543 8.247
0.0152 0.01508 6.69897 0.2313415259 1.7905279398    0.231 -1.272  3.4648  3.886    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.950 9.390 11.297 8.079
0.0152 0.01508 6.69897 0.2493823618 1.8387556076    0.249 -1.232  3.4693  3.896    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.850 9.246 11.107 7.946
0.0152 0.01508 6.69897 0.2689957321 1.8862913847    0.269 -1.183  3.4756  3.905    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.728 9.066 10.865 7.782
0.0152 0.01508 6.69897 0.2957793474 1.9443835020    0.296 -1.124  3.4829  3.917    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.581 8.851 10.578 7.588
0.0152 0.01508 6.69897 0.3000000119 1.9529139996    0.300 -1.116  3.4839  3.919    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.560 8.822 10.538 7.561
0.0152 0.01508 6.69897 0.3169916868 1.9857413769    0.317 -1.081  3.4887  3.927    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.473 8.692 10.362 7.445
0.0152 0.01508 6.69897 0.3500000238 2.0434176922    0.350 -1.018  3.4970  3.939    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.314 8.469 10.071 7.243
0.0152 0.01508 6.69897 0.3551442623 2.0517692566    0.355 -1.009  3.4981  3.942    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.23e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.292 8.439 10.030 7.215
0.0152 0.01508 6.69897 0.4000000358 2.1185026169    0.400 -0.934  3.5082  3.959    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.45e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.106 8.179 9.693 6.980
0.0152 0.01508 6.69897 0.4060827792 2.1268014908    0.406 -0.925  3.5096  3.962    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 7.081 8.144 9.647 6.949
0.0152 0.01508 6.69897 0.4500000477 2.1822810173    0.450 -0.854  3.5200  3.977    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.72e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.906 7.895 9.320 6.727
0.0152 0.01508 6.69897 0.4637969434 2.1982738972    0.464 -0.835  3.5231  3.983    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.857 7.824 9.224 6.664
0.0152 0.01508 6.69897 0.5000000000 2.2374541759    0.500 -0.783  3.5312  3.997    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.728 7.638 8.976 6.500
0.0152 0.01508 6.69897 0.5201604366 2.2573142052    0.520 -0.755  3.5360  4.005    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.08e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.657 7.535 8.838 6.411
0.0152 0.01508 6.69897 0.5429542661 2.2777378559    0.543 -0.726  3.5406  4.013    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.585 7.432 8.702 6.321
0.0152 0.01508 6.69897 0.5500000119 2.2836582661    0.550 -0.717  3.5419  4.015    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.23e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.562 7.400 8.661 6.293
